File; Clique; Time (sec)
brock200_1.clq; 21; 5.42238
brock200_2.clq; 12; 3.54533
brock200_3.clq; 14; 4.85133
brock200_4.clq; 17; 4.65818
brock400_1.clq; 23; 10.8521
brock400_2.clq; 24; 10.9437
brock400_3.clq; 24; 10.9848
brock400_4.clq; 33; 10.9658
C125.9.clq; 34; 6.41223
gen200_p0.9_44.clq; 39; 12.1682
gen200_p0.9_55.clq; 53; 12.2465
hamming8-4.clq; 16; 3.34069ф
johnson16-2-4.clq; 8; 1.60923
johnson8-2-4.clq; 4; 0.298739
keller4.clq; 11; 3.61747
MANN_a27.clq; 125; 92.1068
MANN_a9.clq; 16; 1.99763
p_hat1000-1.clq; 10; 11.2258
p_hat1000-2.clq; 42; 41.421
p_hat1500-1.clq; 11; 25.0681
p_hat300-3.clq; 34; 12.7888
p_hat300-3.clq; 34; 12.6651
p_hat500-3.clq; 47; 18.5019
san1000.clq; 10; 20.465
sanr200_0.9.clq; 41; 11.8127
sanr400_0.7.clq; 20; 9.1601
