commodity_id,src,dst,demand,u,v,flow
0,14762,13502,1.0,14762,10575,1.0
0,14762,13502,1.0,19545,11484,1.0
0,14762,13502,1.0,11484,10757,1.0
0,14762,13502,1.0,11177,13502,1.0
0,14762,13502,1.0,10575,19545,1.0
0,14762,13502,1.0,10757,11177,1.0
1,19545,18935,287.0,14762,13009,75.99999999999993
1,19545,18935,287.0,19545,14762,54.999999999999694
1,19545,18935,287.0,19545,13009,211.00000000000006
1,19545,18935,287.0,19545,13502,21.000000000000234
1,19545,18935,287.0,13009,18935,287.0
1,19545,18935,287.0,13502,14762,21.000000000000234
2,13009,10575,300.0,14762,10575,300.0
2,13009,10575,300.0,13009,14762,300.0
3,16313,18935,122.0,13009,18935,111.99999999999893
3,16313,18935,122.0,16313,18935,10.000000000001052
3,16313,18935,122.0,16313,10045,111.99999999999893
3,16313,18935,122.0,10045,13009,111.99999999999893
4,18935,11581,1.0,14762,11484,1.0
4,18935,11581,1.0,19545,14762,1.0
4,18935,11581,1.0,13009,10045,1.0
4,18935,11581,1.0,18935,13009,1.0
4,18935,11581,1.0,10045,19545,1.0
4,18935,11581,1.0,11484,10757,1.0
4,18935,11581,1.0,10305,11581,1.0
4,18935,11581,1.0,10757,10305,1.0
5,10045,11484,300.0,14762,11484,247.0000000000001
5,10045,11484,300.0,19545,11484,52.9999999999999
5,10045,11484,300.0,10045,14762,247.0000000000001
5,10045,11484,300.0,10045,19545,52.9999999999999
6,18249,13009,1.0,14762,13009,1.0
6,18249,13009,1.0,18249,14762,1.0
7,19545,11177,1.0,19545,11484,1.0
7,19545,11177,1.0,11484,11177,1.0
8,16313,12398,1.0,14762,12398,1.0
8,16313,12398,1.0,16313,10045,1.0
8,16313,12398,1.0,10045,14762,1.0
9,13502,13009,1.0,14762,13009,1.0
9,13502,13009,1.0,13502,14762,1.0
10,19545,10757,67.0,19545,11484,67.0
10,19545,10757,67.0,11484,10757,67.0
11,13502,10379,28.0,13502,10379,27.999999999999996
12,18249,11177,1.0,14762,11484,1.0
12,18249,11177,1.0,18249,14762,1.0
12,18249,11177,1.0,11484,11177,1.0
13,11484,19545,1.0,14762,19545,1.0
13,11484,19545,1.0,13502,14762,1.0
13,11484,19545,1.0,11484,10757,1.0
13,11484,19545,1.0,10305,11581,1.0
13,11484,19545,1.0,11177,13502,1.0
13,11484,19545,1.0,11581,11177,1.0
13,11484,19545,1.0,10757,10305,1.0
14,13009,13502,1.0,13009,18935,1.0
14,13009,13502,1.0,18935,18249,1.0
14,13009,13502,1.0,18249,18545,1.0
14,13009,13502,1.0,18545,13502,1.0
15,19545,14762,1.0,19545,14762,1.0
16,13502,12398,261.0,14762,12398,261.0
16,13502,12398,261.0,13502,14762,261.0
17,10045,10575,69.0,14762,10575,69.0
17,10045,10575,69.0,10045,14762,69.0
18,19545,11581,1.0,19545,11484,1.0
18,19545,11581,1.0,11484,10757,1.0
18,19545,11581,1.0,10305,11581,1.0
