u,v,vehicles,cost_per_vehicle,arc_cost
14762,11484,32,50462776.0,1614808832.0
11484,11581,6,191940593.922,1151643563.532
11484,11177,10,97459841.1402,974598411.4020001
11177,13502,4,119071890.0,476287560.0
11484,10757,6,77404237.3566,464425424.13960004
14762,12398,7,65118826.5,455831785.5
14762,10575,9,50474560.5,454271044.5
19545,13502,7,51224628.0,358572396.0
10045,19545,9,36729440.0,330564960.0
19545,13009,6,51858092.0,311148552.0
14412,10045,5,41853013.99999999,209265069.99999997
11581,11177,1,195039586.0,195039586.0
14762,18545,3,63690672.5,191072017.5
19545,11484,5,36748800.0,183744000.0
12398,14412,2,90586578.39,181173156.78
10045,14762,28,6227077.499999999,174358169.99999997
16313,10045,22,7747185.599999999,170438083.19999996
19545,18647,4,41291120.0,165164480.0
18249,18545,3,53134672.5,159404017.5
11484,18647,7,20879680.0,146157760.0
11484,18545,3,46739134.6884,140217404.0652
10757,10305,1,136785579.63840002,136785579.63840002
19545,10575,3,36769520.0,110308560.0
13009,14762,23,4152143.8,95499307.39999999
18249,10045,3,30440970.0,91322910.0
14762,19545,2,45290472.5,90580945.0
18545,10757,1,81353760.0,81353760.0
12398,19545,1,78513216.39,78513216.39
13502,10379,8,9740577.0,77924616.0
18935,18249,4,15544300.8,62177203.2
18545,13502,1,57151800.0,57151800.0
18545,14762,1,56207960.0,56207960.0
18249,13502,2,28068111.0864,56136222.1728
10379,13502,3,18591720.0,55775160.0
13502,18249,7,7628767.9776,53401375.8432
19545,14762,1,52055848.0,52055848.0
13502,14762,13,3836560.8,49875290.4
13009,18249,4,12417794.424,49671177.696
18935,13009,15,3298720.6,49480809.0
18545,18249,1,46726640.0,46726640.0
10045,13502,4,11542443.0,46169772.0
10045,13009,9,4611801.6,41506214.4
10305,11581,4,9834344.72,39337378.88
10757,11177,1,38136015.6,38136015.6
11484,19545,2,18413120.0,36826240.0
16313,18935,1,30353568.0,30353568.0
11484,14412,1,30346784.0,30346784.0
11484,10379,1,28762158.2094,28762158.2094
18249,14762,1,25618335.61,25618335.61
13009,10045,5,4768901.199999999,23844505.999999996
14762,10045,4,5933881.8,23735527.2
14762,18935,3,6654496.8,19963490.4
13009,18935,6,3083509.8,18501058.799999997
18647,11484,1,18453952.67,18453952.67
10575,19545,1,18423480.0,18423480.0
18935,10379,1,18404870.4,18404870.4
18647,14412,1,18326091.27,18326091.27
10379,10045,1,17320037.130000003,17320037.130000003
14762,13502,2,5827675.2,11655350.4
11581,10305,2,5115562.029999999,10231124.059999999
14762,13009,1,4407177.6,4407177.6
10575,11484,1,213339.728,213339.728
